编号,地区,性别,受教育程度,观点,年龄,月收入,月支出
1,A,女,中,不支持,55,2299,1423
2,A,女,低,不支持,39,3378,2022
3,A,女,中,支持,33,3460,1868
4,B,男,高,支持,41,4564,1918
5,B,女,高,不支持,55,3206,1906
6,A,女,中,不支持,48,4043,2233
7,D,女,高,支持,36,3395,1428
8,C,男,中,支持,50,5363,1931
9,B,男,中,不支持,49,6227,2608
10,D,女,中,不支持,21,2836,1164
11,A,女,低,支持,27,3308,2417
12,B,男,中,NA,29,2355,1287
13,C,女,中,不支持,43,4033,1353
14,C,女,中,支持,31,3048,1742
15,C,女,中,不支持,42,4799,1754
16,B,男,低,不支持,41,2614,1785
17,B,男,低,不支持,38,3091,1289
18,C,女,高,支持,54,1513,1452
19,C,女,中,NA,22,1293,2266
20,A,女,高,不支持,37,3426,1656
21,D,女,中,不支持,38,2580,2415
22,B,女,中,不支持,19,4076,1571
23,B,女,中,支持,39,1286,1985
24,A,女,中,支持,27,2897,2439
25,B,男,中,不支持,45,3315,1832
26,C,男,中,支持,38,3564,1712
27,C,女,中,不支持,47,3217,1744
28,C,男,低,支持,46,2811,1815
29,D,女,中,NA,39,2347,1591
30,A,男,中,支持,42,3627,1535
31,C,女,中,不支持,34,2033,2237
32,B,女,中,不支持,43,3891,2614
33,D,女,中,支持,30,2837,2756
34,C,女,低,不支持,45,2950,2099
35,C,女,中,支持,39,3936,1014
36,B,男,低,不支持,42,2341,2473
37,B,男,低,支持,47,3325,1814
38,B,男,低,不支持,50,1698,2491
39,B,男,中,不支持,34,2175,2558
40,A,男,高,不支持,27,3289,2090
41,C,女,中,支持,57,2831,2844
42,B,男,高,支持,42,4735,1874
43,B,女,中,不支持,27,3233,1677
44,B,男,低,支持,48,1575,2853
45,C,男,中,不支持,42,1968,2442
46,B,女,低,支持,51,3043,2055
47,A,女,低,支持,43,2162,1283
48,B,女,中,支持,25,2762,2601
49,D,男,低,支持,36,2987,1838
50,D,男,低,不支持,47,3996,2481
51,C,男,低,不支持,37,1358,1583
52,C,男,低,支持,27,976,2087
53,B,男,低,不支持,27,2824,2698
54,A,女,中,不支持,36,3230,1874
55,C,女,中,不支持,56,2731,1505
56,B,男,中,支持,41,2352,1890
57,D,女,低,不支持,59,1872,1551
58,C,男,高,不支持,40,1814,2577
59,A,男,高,支持,43,3367,1761
60,A,女,中,支持,31,2863,1563
61,C,男,低,不支持,31,2756,1618
62,C,男,高,支持,42,3455,2244
63,C,男,中,不支持,28,1197,1622
64,D,男,低,支持,32,4192,2093
65,C,男,高,支持,32,2880,2387
66,A,女,高,支持,39,1609,1618
67,C,女,中,支持,44,1645,2115
68,B,女,中,支持,51,3695,1814
69,D,女,高,不支持,45,2453,1890
70,A,男,低,不支持,58,3083,2052
71,A,男,高,不支持,33,2142,1701
72,B,男,高,不支持,37,3707,2457
73,B,女,高,不支持,19,2650,1931
74,A,女,高,支持,39,3776,2043
75,D,女,中,不支持,47,3374,2235
76,B,女,中,支持,28,3164,2312
77,B,男,中,支持,58,3948,2018
78,B,男,中,不支持,43,3043,1859
79,B,女,高,支持,61,2073,1422
80,D,男,中,不支持,36,2496,1609
81,B,女,中,支持,32,4765,2166
82,A,男,高,不支持,31,2601,1139
83,C,女,中,不支持,62,4138,1040
84,C,女,中,不支持,39,2786,1668
85,A,男,高,支持,39,3973,2346
86,C,女,低,支持,42,2081,1978
87,C,女,高,支持,29,1613,1472
88,C,女,中,支持,56,4029,2247
89,D,男,中,不支持,29,3610,2637
90,A,女,低,不支持,36,2896,2302
91,C,女,低,支持,21,3620,2210
92,C,女,中,不支持,37,4064,1927
93,C,女,低,不支持,44,3417,2608
94,C,男,高,支持,46,4548,2073
95,C,男,低,不支持,43,2581,2184
96,C,女,低,支持,47,2033,1711
97,D,男,低,支持,44,4214,1225
98,A,女,中,不支持,31,2065,1822
99,D,女,低,支持,65,4152,2000
100,B,男,低,不支持,52,2496,1381
101,B,男,中,支持,36,3901,2273
102,D,男,高,不支持,36,1544,1797
103,C,男,低,支持,44,4141,1917
104,A,男,高,不支持,53,1113,2259
105,C,女,中,不支持,47,3940,2520
106,D,女,高,不支持,27,2429,2144
107,B,女,中,不支持,57,2219,1874
108,C,女,中,不支持,30,2503,1743
109,D,女,高,不支持,53,2314,1082
110,C,男,高,不支持,25,2810,1784
111,C,男,中,不支持,29,3212,2086
112,D,女,低,不支持,51,2331,1959
113,C,男,中,不支持,30,4096,2366
114,C,男,中,支持,35,2893,797
115,C,女,高,支持,35,3867,2321
116,D,女,高,不支持,43,3622,1960
117,B,男,中,不支持,23,2328,2278
118,C,男,中,不支持,33,4156,1490
119,A,女,中,不支持,57,3168,1953
120,D,女,中,支持,19,3019,2037
121,C,女,高,支持,41,4707,2202
122,A,男,中,支持,47,2402,2007
123,A,男,中,不支持,57,1709,2447
124,B,女,中,不支持,27,3272,2665
125,B,男,高,不支持,40,2527,1653
126,B,女,低,不支持,32,2231,1576
127,C,男,中,不支持,36,2370,1865
128,A,男,高,不支持,48,2493,2163
129,C,女,高,支持,44,1385,1887
130,D,男,高,不支持,44,2446,2216
131,B,男,低,不支持,49,2742,1803
132,C,女,中,支持,37,2836,1552
133,A,男,低,不支持,45,2581,1432
134,A,女,高,支持,35,4085,2220
135,A,男,低,支持,49,2340,1753
136,C,女,低,支持,26,3794,2767
137,B,女,低,支持,23,2654,2222
138,C,女,中,支持,34,2298,1577
139,C,女,中,支持,38,3897,1865
140,C,女,低,支持,35,1280,1869
141,B,女,低,支持,59,3734,1359
142,D,女,中,不支持,43,3935,1962
143,D,男,高,不支持,44,1460,1861
144,C,男,中,不支持,54,1934,2039
145,C,男,低,支持,35,3447,2277
146,A,男,低,支持,33,1369,1993
147,B,男,高,支持,45,3248,1872
148,B,男,中,支持,52,4523,1782
149,A,男,中,支持,44,2144,2392
150,D,女,中,支持,42,4089,1725
151,C,男,中,支持,26,3647,1698
152,C,男,低,支持,41,3353,1640
153,B,男,中,不支持,39,3190,2027
154,B,女,高,支持,49,2353,2022
155,C,女,低,支持,42,3261,1720
156,A,男,中,不支持,43,5611,1943
157,B,男,中,不支持,45,2883,1923
158,A,男,高,支持,43,3632,1477
159,A,男,高,不支持,47,2777,1929
160,A,女,低,不支持,56,1778,1686
161,C,女,中,不支持,39,4100,2181
162,B,女,中,支持,18,2509,2305
163,D,男,中,支持,31,1768,1926
164,B,女,中,支持,40,2721,2009
165,C,男,中,不支持,47,3628,1651
166,D,男,中,不支持,33,3255,2129
167,A,女,中,不支持,48,3318,2141
168,B,女,高,不支持,47,2510,1905
169,D,女,中,不支持,43,1099,995
170,C,男,中,支持,44,2190,1762
171,B,女,高,支持,43,4768,1638
172,C,女,高,支持,49,2766,1780
173,D,男,高,支持,45,3782,1376
174,C,男,中,支持,47,4715,2902
175,C,女,中,不支持,38,2122,2001
176,C,女,中,不支持,23,4949,1528
177,B,男,高,不支持,41,3961,1869
178,B,女,高,不支持,52,2492,2450
179,D,男,中,支持,46,4068,1959
180,A,男,中,支持,53,3515,1625
181,A,男,中,不支持,47,2611,2325
182,B,男,低,不支持,46,3121,2018
183,C,女,高,支持,34,3219,1844
184,A,男,中,支持,42,3017,1449
185,B,女,中,不支持,43,2942,2324
186,B,男,低,支持,37,2316,1677
187,B,男,中,支持,47,1969,1651
188,B,男,高,支持,50,4245,1693
189,C,女,中,不支持,39,3304,1511
190,C,男,中,不支持,48,4056,2273
191,C,男,中,支持,41,3215,2734
192,C,女,高,不支持,51,2580,1990
193,D,男,中,不支持,23,3027,2252
194,C,男,高,不支持,34,2151,2685
195,B,男,中,支持,46,1961,1904
196,C,男,中,支持,39,4323,2512
197,C,男,中,不支持,55,2653,1409
198,A,女,高,不支持,42,3646,1473
199,B,男,高,支持,39,3074,2047
200,C,女,中,支持,49,2962,1741
201,A,男,高,支持,47,2958,2557
202,C,男,中,不支持,44,2259,2435
203,A,男,中,不支持,52,4593,1187
204,C,男,中,不支持,25,3548,2511
205,C,男,低,不支持,47,1510,1788
206,B,男,低,支持,33,1136,1603
207,D,男,低,支持,27,4050,1326
208,B,男,低,支持,43,3090,2399
209,B,男,中,支持,36,2640,1336
210,B,女,低,不支持,37,2556,1551
211,D,女,中,支持,49,4889,1708
212,C,女,中,不支持,38,4837,2317
213,B,男,低,不支持,44,1987,1832
214,D,男,低,支持,52,3377,1527
215,C,男,低,不支持,45,2645,2292
216,C,男,低,不支持,32,1165,2331
217,C,女,高,不支持,48,2112,2002
218,C,男,中,支持,64,3571,1479
219,A,女,低,不支持,16,2508,2140
220,B,男,低,不支持,28,4243,1843
221,B,男,中,支持,47,2930,1866
